rank,gid,role,priority_score,why
1,754,coordinator,0.998478,"Приоритет проверки 0.998478 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.997469. Процентили: центральность компоненты 100.000000; оборот графа 99.110320. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
2,755,coordinator,0.977407,"Приоритет проверки 0.977407 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.926578. Процентили: центральность компоненты 98.348428; оборот графа 99.065836. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
3,545,coordinator,0.952013,"Приоритет проверки 0.952013 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.812500. Процентили: центральность компоненты 100.000000; оборот графа 98.887900. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
4,535,coordinator,0.951879,"Приоритет проверки 0.951879 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.812500. Процентили: центральность компоненты 100.000000; оборот графа 98.754448. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
5,543,coordinator,0.948265,"Приоритет проверки 0.948265 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.800000. Процентили: центральность компоненты 100.000000; оборот графа 98.265125. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
6,501,coordinator,0.941165,"Приоритет проверки 0.941165 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.780556. Процентили: центральность компоненты 99.814815; оборот графа 96.396797. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
7,499,coordinator,0.936676,"Приоритет проверки 0.936676 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.773148. Процентили: центральность компоненты 98.518519; оборот графа 96.352313. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
8,251,coordinator,0.936634,"Приоритет проверки 0.936634 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.788526. Процентили: центральность компоненты 99.733617; оборот графа 90.035587. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
9,267,coordinator,0.935819,"Приоритет проверки 0.935819 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.787460. Процентили: центральность компоненты 99.147576; оборот графа 90.658363. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
10,497,coordinator,0.935197,"Приоритет проверки 0.935197 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.770370. Процентили: центральность компоненты 98.148148; оборот графа 96.307829. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
11,503,coordinator,0.934821,"Приоритет проверки 0.934821 (0–1, с поправками; не вероятность). Роль coordinator: вес 1.00, сила правила 0.771296. Процентили: центральность компоненты 97.777778; оборот графа 96.441281. Шкала 0–100 = 100×средний ранг/N; равным значениям — средний ранг."
